i: 0, j: 0, neighCnt: 0
i: 1, j: 7, neighCnt: 0
i: 1, j: 8, neighCnt: 1
i: 1, j: 9, neighCnt: 0
i: 1, j: 10, neighCnt: 2
i: 1, j: 11, neighCnt: 0
i: 1, j: 12, neighCnt: 1
i: 1, j: 13, neighCnt: 0
i: 1, j: 14, neighCnt: 0
i: 2, j: 0, neighCnt: 0
i: 2, j: 1, neighCnt: 0
i: 2, j: 2, neighCnt: 1
i: 2, j: 3, neighCnt: 1
i: 2, j: 4, neighCnt: 2
i: 2, j: 5, neighCnt: 2
i: 2, j: 6, neighCnt: 2
i: 2, j: 7, neighCnt: 2
i: 2, j: 8, neighCnt: 2
i: 2, j: 9, neighCnt: 2
i: 2, j: 10, neighCnt: 2
i: 2, j: 11, neighCnt: 1
i: 2, j: 12, neighCnt: 1
i: 2, j: 13, neighCnt: 0
i: 2, j: 14, neighCnt: 0
i: 3, j: 0, neighCnt: 1
i: 3, j: 1, neighCnt: 1
i: 3, j: 2, neighCnt: 1
i: 3, j: 3, neighCnt: 0
i: 3, j: 4, neighCnt: 0
i: 3, j: 5, neighCnt: 2
i: 3, j: 6, neighCnt: 1
i: 3, j: 7, neighCnt: 4
i: 3, j: 8, neighCnt: 1
i: 3, j: 9, neighCnt: 2
i: 3, j: 10, neighCnt: 0
i: 3, j: 11, neighCnt: 0
i: 3, j: 12, neighCnt: 1
i: 3, j: 13, neighCnt: 1
i: 3, j: 14, neighCnt: 1
i: 4, j: 0, neighCnt: 1
i: 4, j: 1, neighCnt: 0
i: 4, j: 2, neighCnt: 1
i: 4, j: 3, neighCnt: 0
i: 4, j: 4, neighCnt: 0
i: 4, j: 5, neighCnt: 3
i: 4, j: 6, neighCnt: 3
i: 4, j: 7, neighCnt: 6
i: 4, j: 8, neighCnt: 2
i: 4, j: 9, neighCnt: 3
i: 4, j: 10, neighCnt: 1
i: 4, j: 11, neighCnt: 0
i: 4, j: 12, neighCnt: 2
i: 4, j: 13, neighCnt: 1
i: 4, j: 14, neighCnt: 2
i: 5, j: 0, neighCnt: 1
i: 5, j: 1, neighCnt: 1
i: 5, j: 2, neighCnt: 2
i: 5, j: 3, neighCnt: 2
i: 5, j: 4, neighCnt: 4
i: 5, j: 5, neighCnt: 5
i: 5, j: 6, neighCnt: 3
i: 5, j: 7, neighCnt: 4
i: 5, j: 8, neighCnt: 3
i: 5, j: 9, neighCnt: 5
i: 5, j: 10, neighCnt: 4
i: 5, j: 11, neighCnt: 2
i: 5, j: 12, neighCnt: 3
i: 5, j: 13, neighCnt: 2
i: 5, j: 14, neighCnt: 2
i: 6, j: 0, neighCnt: 0
i: 6, j: 1, neighCnt: 0
i: 6, j: 2, neighCnt: 1
i: 6, j: 3, neighCnt: 1
i: 6, j: 4, neighCnt: 2
i: 6, j: 5, neighCnt: 2
i: 6, j: 6, neighCnt: 2
i: 6, j: 7, neighCnt: 2
i: 6, j: 8, neighCnt: 2
i: 6, j: 9, neighCnt: 2
i: 6, j: 10, neighCnt: 2
i: 6, j: 11, neighCnt: 2
i: 6, j: 12, neighCnt: 3
i: 6, j: 13, neighCnt: 3
i: 6, j: 14, neighCnt: 2
i: 7, j: 0, neighCnt: 0
i: 7, j: 1, neighCnt: 0
i: 7, j: 2, neighCnt: 2
i: 7, j: 3, neighCnt: 4
i: 7, j: 4, neighCnt: 6
i: 7, j: 5, neighCnt: 4
i: 7, j: 6, neighCnt: 2
i: 7, j: 7, neighCnt: 0
i: 7, j: 8, neighCnt: 2
i: 7, j: 9, neighCnt: 4
i: 7, j: 10, neighCnt: 5
i: 7, j: 11, neighCnt: 4
i: 7, j: 12, neighCnt: 3
i: 7, j: 13, neighCnt: 3
i: 7, j: 14, neighCnt: 2
i: 8, j: 0, neighCnt: 1
i: 8, j: 1, neighCnt: 1
i: 8, j: 2, neighCnt: 2
i: 8, j: 3, neighCnt: 1
i: 8, j: 4, neighCnt: 2
i: 8, j: 5, neighCnt: 2
i: 8, j: 6, neighCnt: 2
i: 8, j: 7, neighCnt: 2
i: 8, j: 8, neighCnt: 2
i: 8, j: 9, neighCnt: 2
i: 8, j: 10, neighCnt: 1
i: 8, j: 11, neighCnt: 2
i: 8, j: 12, neighCnt: 2
i: 8, j: 13, neighCnt: 2
i: 8, j: 14, neighCnt: 1
i: 9, j: 0, neighCnt: 2
i: 9, j: 1, neighCnt: 1
i: 9, j: 2, neighCnt: 3
i: 9, j: 3, neighCnt: 3
i: 9, j: 4, neighCnt: 4
i: 9, j: 5, neighCnt: 4
i: 9, j: 6, neighCnt: 2
i: 9, j: 7, neighCnt: 4
i: 9, j: 8, neighCnt: 2
i: 9, j: 9, neighCnt: 4
i: 9, j: 10, neighCnt: 2
i: 9, j: 11, neighCnt: 1
i: 9, j: 12, neighCnt: 1
i: 9, j: 13, neighCnt: 1
i: 9, j: 14, neighCnt: 1
i: 10, j: 0, neighCnt: 3
i: 10, j: 1, neighCnt: 4
i: 10, j: 2, neighCnt: 5
i: 10, j: 3, neighCnt: 2
i: 10, j: 4, neighCnt: 1
i: 10, j: 5, neighCnt: 3
i: 10, j: 6, neighCnt: 3
i: 10, j: 7, neighCnt: 5
i: 10, j: 8, neighCnt: 1
i: 10, j: 9, neighCnt: 2
i: 10, j: 10, neighCnt: 0
i: 10, j: 11, neighCnt: 0
i: 10, j: 12, neighCnt: 2
i: 10, j: 13, neighCnt: 1
i: 10, j: 14, neighCnt: 2
i: 11, j: 0, neighCnt: 3
i: 11, j: 1, neighCnt: 3
i: 11, j: 2, neighCnt: 2
i: 11, j: 3, neighCnt: 0
i: 11, j: 4, neighCnt: 1
i: 11, j: 5, neighCnt: 3
i: 11, j: 6, neighCnt: 3
i: 11, j: 7, neighCnt: 3
i: 11, j: 8, neighCnt: 2
i: 11, j: 9, neighCnt: 1
i: 11, j: 10, neighCnt: 0
i: 11, j: 11, neighCnt: 0
i: 11, j: 12, neighCnt: 2
i: 11, j: 13, neighCnt: 1
i: 11, j: 14, neighCnt: 2
i: 12, j: 0, neighCnt: 2
i: 12, j: 1, neighCnt: 2
i: 12, j: 2, neighCnt: 1
i: 12, j: 3, neighCnt: 1
i: 12, j: 4, neighCnt: 3
i: 12, j: 5, neighCnt: 5
i: 12, j: 6, neighCnt: 4
i: 12, j: 7, neighCnt: 2
i: 12, j: 8, neighCnt: 1
i: 12, j: 9, neighCnt: 0
i: 12, j: 10, neighCnt: 0
i: 12, j: 11, neighCnt: 0
i: 12, j: 12, neighCnt: 1
i: 12, j: 13, neighCnt: 1
i: 12, j: 14, neighCnt: 1
i: 13, j: 0, neighCnt: 0
i: 13, j: 1, neighCnt: 0
i: 13, j: 2, neighCnt: 0
i: 13, j: 3, neighCnt: 2
i: 13, j: 4, neighCnt: 2
i: 13, j: 5, neighCnt: 2
i: 13, j: 6, neighCnt: 1
i: 13, j: 7, neighCnt: 0
i: 13, j: 8, neighCnt: 0
i: 13, j: 9, neighCnt: 0
i: 13, j: 10, neighCnt: 0
i: 13, j: 11, neighCnt: 0
i: 13, j: 12, neighCnt: 0
i: 13, j: 13, neighCnt: 0
i: 13, j: 14, neighCnt: 0
i: 14, j: 0, neighCnt: 0
i: 14, j: 1, neighCnt: 0
i: 14, j: 2, neighCnt: 0
i: 14, j: 3, neighCnt: 1
i: 14, j: 4, neighCnt: 2
i: 14, j: 5, neighCnt: 2
i: 14, j: 6, neighCnt: 1
i: 14, j: 7, neighCnt: 0
i: 14, j: 8, neighCnt: 0
i: 14, j: 9, neighCnt: 0
i: 14, j: 10, neighCnt: 0
i: 14, j: 11, neighCnt: 0
i: 14, j: 12, neighCnt: 0
i: 14, j: 13, neighCnt: 0
i: 14, j: 14, neighCnt: 0
i: 0, j: 0, neighCnt: 0
i: 0, j: 1, neighCnt: 0
i: 0, j: 2, neighCnt: 0
i: 0, j: 3, neighCnt: 0
i: 0, j: 4, neighCnt: 0
i: 0, j: 5, neighCnt: 0
i: 0, j: 6, neighCnt: 0
i: 0, j: 7, neighCnt: 0
i: 0, j: 8, neighCnt: 0
i: 0, j: 9, neighCnt: 0
i: 0, j: 10, neighCnt: 0
i: 0, j: 11, neighCnt: 0
i: 0, j: 12, neighCnt: 0
i: 0, j: 13, neighCnt: 0
i: 0, j: 14, neighCnt: 0
i: 1, j: 0, neighCnt: 0
i: 1, j: 1, neighCnt: 0
i: 1, j: 2, neighCnt: 0
i: 1, j: 3, neighCnt: 0
i: 1, j: 4, neighCnt: 0
i: 1, j: 5, neighCnt: 0
i: 1, j: 6, neighCnt: 0
i: 1, j: 7, neighCnt: 0
i: 1, j: 8, neighCnt: 0
i: 1, j: 9, neighCnt: 0
i: 1, j: 10, neighCnt: 0
i: 1, j: 11, neighCnt: 0
i: 1, j: 12, neighCnt: 0
i: 1, j: 13, neighCnt: 0
i: 1, j: 14, neighCnt: 0
i: 2, j: 0, neighCnt: 0
i: 2, j: 1, neighCnt: 0
i: 2, j: 2, neighCnt: 0
i: 2, j: 3, neighCnt: 0
i: 2, j: 4, neighCnt: 0
i: 2, j: 5, neighCnt: 0
i: 2, j: 6, neighCnt: 0
i: 2, j: 7, neighCnt: 0
i: 2, j: 8, neighCnt: 0
i: 2, j: 9, neighCnt: 0
i: 2, j: 10, neighCnt: 0
i: 2, j: 11, neighCnt: 0
i: 2, j: 12, neighCnt: 0
i: 2, j: 13, neighCnt: 0
i: 2, j: 14, neighCnt: 0
i: 3, j: 0, neighCnt: 0
i: 3, j: 1, neighCnt: 0
i: 3, j: 2, neighCnt: 0
i: 3, j: 3, neighCnt: 0
i: 3, j: 4, neighCnt: 0
i: 3, j: 5, neighCnt: 1
i: 3, j: 6, neighCnt: 1
i: 3, j: 7, neighCnt: 2
i: 3, j: 8, neighCnt: 1
i: 3, j: 9, neighCnt: 1
i: 3, j: 10, neighCnt: 0
i: 3, j: 11, neighCnt: 0
i: 3, j: 12, neighCnt: 0
i: 3, j: 13, neighCnt: 0
i: 3, j: 14, neighCnt: 0
i: 4, j: 0, neighCnt: 0
i: 4, j: 1, neighCnt: 0
i: 4, j: 2, neighCnt: 0
i: 4, j: 3, neighCnt: 0
i: 4, j: 4, neighCnt: 0
i: 4, j: 5, neighCnt: 2
i: 4, j: 6, neighCnt: 1
i: 4, j: 7, neighCnt: 4
i: 4, j: 8, neighCnt: 1
i: 4, j: 9, neighCnt: 2
i: 4, j: 10, neighCnt: 0
i: 4, j: 11, neighCnt: 0
i: 4, j: 12, neighCnt: 1
i: 4, j: 13, neighCnt: 1
i: 4, j: 14, neighCnt: 1
i: 5, j: 0, neighCnt: 0
i: 5, j: 1, neighCnt: 0
i: 5, j: 2, neighCnt: 0
i: 5, j: 3, neighCnt: 1
i: 5, j: 4, neighCnt: 2
i: 5, j: 5, neighCnt: 4
i: 5, j: 6, neighCnt: 2
i: 5, j: 7, neighCnt: 4
i: 5, j: 8, neighCnt: 2
i: 5, j: 9, neighCnt: 4
i: 5, j: 10, neighCnt: 3
i: 5, j: 11, neighCnt: 3
i: 5, j: 12, neighCnt: 3
i: 5, j: 13, neighCnt: 1
i: 5, j: 14, neighCnt: 1
i: 6, j: 0, neighCnt: 0
i: 6, j: 1, neighCnt: 0
i: 6, j: 2, neighCnt: 0
i: 6, j: 3, neighCnt: 1
i: 6, j: 4, neighCnt: 1
i: 6, j: 5, neighCnt: 2
i: 6, j: 6, neighCnt: 2
i: 6, j: 7, neighCnt: 2
i: 6, j: 8, neighCnt: 2
i: 6, j: 9, neighCnt: 3
i: 6, j: 10, neighCnt: 4
i: 6, j: 11, neighCnt: 4
i: 6, j: 12, neighCnt: 4
i: 6, j: 13, neighCnt: 2
i: 6, j: 14, neighCnt: 1
i: 7, j: 0, neighCnt: 0
i: 7, j: 1, neighCnt: 0
i: 7, j: 2, neighCnt: 0
i: 7, j: 3, neighCnt: 2
i: 7, j: 4, neighCnt: 4
i: 7, j: 5, neighCnt: 4
i: 7, j: 6, neighCnt: 2
i: 7, j: 7, neighCnt: 0
i: 7, j: 8, neighCnt: 2
i: 7, j: 9, neighCnt: 3
i: 7, j: 10, neighCnt: 5
i: 7, j: 11, neighCnt: 2
i: 7, j: 12, neighCnt: 1
i: 7, j: 13, neighCnt: 0
i: 7, j: 14, neighCnt: 0
i: 8, j: 0, neighCnt: 0
i: 8, j: 1, neighCnt: 0
i: 8, j: 2, neighCnt: 0
i: 8, j: 3, neighCnt: 1
i: 8, j: 4, neighCnt: 1
i: 8, j: 5, neighCnt: 2
i: 8, j: 6, neighCnt: 2
i: 8, j: 7, neighCnt: 2
i: 8, j: 8, neighCnt: 3
i: 8, j: 9, neighCnt: 3
i: 8, j: 10, neighCnt: 2
i: 8, j: 11, neighCnt: 0
i: 8, j: 12, neighCnt: 0
i: 8, j: 13, neighCnt: 0
i: 8, j: 14, neighCnt: 0
i: 9, j: 0, neighCnt: 0
i: 9, j: 1, neighCnt: 0
i: 9, j: 2, neighCnt: 0
i: 9, j: 3, neighCnt: 1
i: 9, j: 4, neighCnt: 2
i: 9, j: 5, neighCnt: 4
i: 9, j: 6, neighCnt: 2
i: 9, j: 7, neighCnt: 4
i: 9, j: 8, neighCnt: 2
i: 9, j: 9, neighCnt: 3
i: 9, j: 10, neighCnt: 2
i: 9, j: 11, neighCnt: 0
i: 9, j: 12, neighCnt: 0
i: 9, j: 13, neighCnt: 0
i: 9, j: 14, neighCnt: 0
i: 10, j: 0, neighCnt: 1
i: 10, j: 1, neighCnt: 1
i: 10, j: 2, neighCnt: 1
i: 10, j: 3, neighCnt: 0
i: 10, j: 4, neighCnt: 0
i: 10, j: 5, neighCnt: 3
i: 10, j: 6, neighCnt: 3
i: 10, j: 7, neighCnt: 4
i: 10, j: 8, neighCnt: 2
i: 10, j: 9, neighCnt: 2
i: 10, j: 10, neighCnt: 1
i: 10, j: 11, neighCnt: 0
i: 10, j: 12, neighCnt: 0
i: 10, j: 13, neighCnt: 0
i: 10, j: 14, neighCnt: 0
i: 11, j: 0, neighCnt: 1
i: 11, j: 1, neighCnt: 0
i: 11, j: 2, neighCnt: 1
i: 11, j: 3, neighCnt: 0
i: 11, j: 4, neighCnt: 1
i: 11, j: 5, neighCnt: 3
i: 11, j: 6, neighCnt: 3
i: 11, j: 7, neighCnt: 2
i: 11, j: 8, neighCnt: 0
i: 11, j: 9, neighCnt: 0
i: 11, j: 10, neighCnt: 0
i: 11, j: 11, neighCnt: 0
i: 11, j: 12, neighCnt: 0
i: 11, j: 13, neighCnt: 0
i: 11, j: 14, neighCnt: 0
i: 12, j: 0, neighCnt: 1
i: 12, j: 1, neighCnt: 1
i: 12, j: 2, neighCnt: 1
i: 12, j: 3, neighCnt: 1
i: 12, j: 4, neighCnt: 3
i: 12, j: 5, neighCnt: 5
i: 12, j: 6, neighCnt: 3
i: 12, j: 7, neighCnt: 2
i: 12, j: 8, neighCnt: 0
i: 12, j: 9, neighCnt: 0
i: 12, j: 10, neighCnt: 0
i: 12, j: 11, neighCnt: 0
i: 12, j: 12, neighCnt: 0
i: 12, j: 13, neighCnt: 0
i: 12, j: 14, neighCnt: 0
i: 13, j: 0, neighCnt: 0
i: 13, j: 1, neighCnt: 0
i: 13, j: 2, neighCnt: 0
i: 13, j: 3, neighCnt: 2
i: 13, j: 4, neighCnt: 2
i: 13, j: 5, neighCnt: 3
i: 13, j: 6, neighCnt: 2
i: 13, j: 7, neighCnt: 1
i: 13, j: 8, neighCnt: 0
i: 13, j: 9, neighCnt: 0
i: 13, j: 10, neighCnt: 0
i: 13, j: 11, neighCnt: 0
i: 13, j: 12, neighCnt: 0
i: 13, j: 13, neighCnt: 0
i: 13, j: 14, neighCnt: 0
i: 14, j: 0, neighCnt: 0
i: 14, j: 1, neighCnt: 0
i: 14, j: 2, neighCnt: 0
i: 14, j: 3, neighCnt: 1
i: 14, j: 4, neighCnt: 2
i: 14, j: 5, neighCnt: 2
i: 14, j: 6, neighCnt: 1
i: 14, j: 7, neighCnt: 0
i: 14, j: 8, neighCnt: 0
i: 14, j: 9, neighCnt: 0
i: 14, j: 10, neighCnt: 0
i: 14, j: 11, neighCnt: 0
i: 14, j: 12, neighCnt: 0
i: 14, j: 13, neighCnt: 0
i: 14, j: 14, neighCnt: 0
...............
...............
...............
...............
...............
......#.#......
.....#...#.....
...............
.....#...#.....
......#.#......
......#........
......#........
...............
....##.........
...............
